# x 	 expectation 	 2/t n log(n) 	 diff \ ratio 
1	14955.9857354	13815.510558	1140.4751774	1.08255034605
2	7250.09431365	6907.75527898	342.339034667	1.04955865123
3	4689.80323625	4605.17018599	84.6330502647	1.01837783336
4	3415.80136132	3453.87763949	-38.0762781739	0.988975788332
5	2656.19593821	2763.10211159	-106.906173385	0.961309365681
6	2153.6666218	2302.58509299	-148.918471192	0.935325529708
7	1797.91644988	1973.64436542	-175.727915542	0.910962725291
8	1533.78482004	1726.93881975	-193.153999708	0.888152378359
9	1330.61857955	1535.05672866	-204.438149114	0.866820459924
10	1170.02045655	1381.5510558	-211.530599241	0.84688904666
20	488.556899059	690.775527898	-202.218628839	0.707258551191
30	291.006896077	460.517018599	-169.510122522	0.63191344581
40	201.851108592	345.387763949	-143.536655357	0.584418817516
50	152.062697017	276.310211159	-124.247514142	0.550333251816
60	120.621500724	230.258509299	-109.637008575	0.523852521634
70	99.1299133189	197.364436542	-98.2345232234	0.50226836737
80	83.6030023997	172.693881975	-89.0908795749	0.48411096817
90	71.9157174563	153.505672866	-81.58995541	0.468488988801
